Legrand ;https://twitter.com/#!/Legrand_news;Legrand_news;Legrand;;Matériel électrique;CAC 40;FR;Institutionnel
L'Oréal;https://twitter.com/#!/lorealpress;lorealpress;L'Oréal;;Cosmétique;CAC 40;FR;Institutionnel
Crédit Agricole B2C;https://twitter.com/#!/CreditAgricole;CreditAgricole;Crédit agricole;;Banque;CAC 40;FR;B2C
Crédit Agricole Institutionnel;https://twitter.com/#!/1CreditAgricole;1CreditAgricole;Crédit agricole;;Banque;CAC 40;FR;Institutionnel
Exxon ;https://twitter.com/exxonmobil;exxonmobil;Exxon Mobil;;Pétrole;DJ;US;Institutionnel
Chevron;https://twitter.com/chevron;chevron;Chevron;;Pétrole;;US;Institutionnel
Petrobras;https://twitter.com/#!/blogpetrobras;blogpetrobras;Petrobras;;Pétrole;;Brs;Institutionnel
BP crise;https://twitter.com/bp_america;bp_america;BP;;Pétrole;;UK;Crise
Safran;https://twitter.com/#!/SAFRAN;SAFRAN;Safran;;Aéronautique;CAC 40;FR;Institutionnel
Société Générale corporate;https://twitter.com/#!/societegenerale;societegenerale;Société générale;;Banque;CAC 40;FR;Institutionnel
Société Générale Par Amour du Rugby;https://twitter.com/#!/Paramourdurugby;Paramourdurugby;Société générale;;Banque;CAC 40;FR;Sponsoring
Alcoa;https://twitter.com/#!/alcoa;alcoa;Alcoa;;Aluminium;DJ;US;Institutionnel
American Express;https://twitter.com/#!/americanexpress;americanexpress;American Express;;Services financiers;DJ;US;Institutionnel
AT&T B2C;https://twitter.com/#!/att;att;AT&T;;Télécommunications;DJ;US;B2C
AT&T SAV;https://twitter.com/#!/ATTCustomerCare;ATTCustomerCare;AT&T;;Télécommunications;DJ;US;SAV
Bank of America SAV;https://twitter.com/#!/BofA_Help;BofA_Help;Bank Of America Inc.;;Banque;DJ;US;SAV
Boeing;https://twitter.com/#!/Boeing;Boeing;Boeing;;Aéronautique;DJ;US;Institutionnel
Caterpillar;https://twitter.com/#!/caterpillarinc;caterpillarinc;Caterpillar;;Matériel de chantier;DJ;US;Institutionnel
